phone_number,latitude,longitude,rating,user_rating_count,name,subtype,type,working_hours
+389 71 343 063,41.9963473,21.4243335,4.7,3580,Matto Napoletano,italian_restaurant,food,"{""monday"": [{""open"": ""09:00"", ""close"": ""23:30""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""23:30""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""23:30""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""23:30""}], ""friday"": [{""open"": ""09:00"", ""close"": ""23:30""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""23:30""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""23:30""}]}"
+389 78 343 630,42.0010096,21.4199187,4.6,5283,Restaurant Skopski Merak,restaurant,food,"{""monday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""12:00"", ""close"": ""00:00""}]}"
+389 2 329 0674,41.99382,21.4308717,4.4,3683,Mother Teresa Memorial House,other,other,"{""monday"": [{""open"": ""09:00"", ""close"": ""20:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""20:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""20:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""20:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""20:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""14:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""14:00""}]}"
+389 2 321 1908,42.0025695,21.4384212,4.3,2645,Kosmos Kebabchilnica,restaurant,food,"{""monday"": [{""open"": ""07:00"", ""close"": ""20:00""}], ""tuesday"": [{""open"": ""07:00"", ""close"": ""20:00""}], ""wednesday"": [{""open"": ""07:00"", ""close"": ""20:00""}], ""thursday"": [{""open"": ""07:00"", ""close"": ""20:00""}], ""friday"": [{""open"": ""07:00"", ""close"": ""20:00""}], ""saturday"": [{""open"": ""07:00"", ""close"": ""20:00""}], ""sunday"": [{""open"": ""07:00"", ""close"": ""20:00""}]}"
+389 71 206 205,42.0000927,21.4174075,4.5,4294,Silbo,bakery,cafe,"{""monday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""tuesday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""wednesday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""thursday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""friday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""saturday"": [{""open"": ""00:00"", ""close"": ""23:59""}], ""sunday"": []}"
+389 2 322 4063,41.9997012,21.436087,3.7,3918,Destan,barbecue_restaurant,other,"{""monday"": [{""open"": ""09:00"", ""close"": ""21:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""21:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""21:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""21:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""22:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""22:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""22:00""}]}"
+389 2 313 1376,41.9969072,21.4383018,4.6,3125,Restaurant „Old House“,restaurant,food,"{""monday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""saturday"": [{""open"": ""16:00"", ""close"": ""00:00""}], ""sunday"": [{""open"": ""14:00"", ""close"": ""22:00""}]}"
,42.0005479,21.4369738,4.3,917,Eski Burek Shop,bakery,cafe,"{""monday"": [{""open"": ""06:00"", ""close"": ""17:00""}], ""tuesday"": [{""open"": ""06:00"", ""close"": ""17:00""}], ""wednesday"": [{""open"": ""06:00"", ""close"": ""17:00""}], ""thursday"": [{""open"": ""06:00"", ""close"": ""17:00""}], ""friday"": [{""open"": ""06:00"", ""close"": ""17:00""}], ""saturday"": [{""open"": ""06:00"", ""close"": ""17:00""}], ""sunday"": []}"
+389 70 272 766,42.003532,21.4168175,4.4,1863,Debar Maalo,restaurant,food,"{""monday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""12:00"", ""close"": ""01:00""}], ""sunday"": []}"
+389 72 306 198,41.9949773,21.4129362,4.6,2972,Gostilnica Dukat,restaurant,food,"{""monday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""00:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""00:00""}]}"
